,week,product_analytic_sub_category,gmv,sla,product_mrp,product_procurement_sla,sla_diff,discount_percentage,gmv_per_unit,order_payment_type_Prepaid,special_sales,NPS,Stock Index,Total Investment,TV,Digital,Sponsorship,Content Marketing,Online marketing,Affiliates,SEM,Radio,Other,pay_day,TV_adstock,Digital_adstock,Sponsorship_adstock,content_marketing_adstock,online_marketing_adstock,affiliates_adstock,SEM_adstock,Radio_adstock,Other_adstock,Mean Temp (°C),Heat Deg Days (°C),Total Rain (mm),Total Snow (cm),Snow on Grnd (cm)
78,29,CameraAccessory,1285497.0,6.44654573523736,1137.7502894635277,2.097645696642223,4.348900038595137,53.01667238741218,487.9282130451563,456.0,0,47.093031325031454,1052.0,74.19599999999814,0.321343007700877,0.033454888472969915,0.3081371306720917,0.06602938514401957,1.680081021997809,0.5407072983459941,0.3081371306720917,0.1980881554320577,1.987484492834844,1,1.7459405408524025,0.13897423594321223,2.048815092280446,0.13580088361977238,4.164447644335491,0.6005258138582221,0.4013779218205366,0.3198314552012298,2.1953428965689814,-3.733333333333333,21.733333333333334,2.533333333333333,0.0,10.333333333333334
81,30,CameraAccessory,1705972.0,6.2369813422445,1049.0392648287386,2.337231968810916,3.899749373433584,52.495529777078765,470.03508771929825,695.0,1,47.09303132503057,1052.0,74.19599999999762,0.3213430077008893,0.0334548884729711,0.3081371306720923,0.06602938514401972,1.6800810219977136,0.5407072983459897,0.3081371306720923,0.19808815543205843,1.9874844928347435,0,1.7180954403828115,0.10294200644457721,1.3325446768123153,0.13392982695390593,4.178749608599008,0.600759879731812,0.3884127150361996,0.35800388303267333,2.207018782491642,-5.533333333333333,41.53333333333333,0.0,0.0,0.0
84,31,CameraAccessory,1300352.0,6.549680170575693,1129.6243070362473,2.100213219616205,4.449466950959488,47.915422943208576,548.4545842217484,431.0,0,47.09303132503178,1052.0,74.19599999999834,0.3213430077008772,0.033454888472969464,0.3081371306720915,0.06602938514401951,1.680081021997827,0.5407072983459957,0.3081371306720915,0.1980881554320574,1.9874844928348818,0,1.6958193600071265,0.08492589169525808,0.9744094690782491,0.13299429862097248,4.187330787157232,0.6007832863191769,0.3858196736793314,0.37709009694839407,2.208186371084046,-1.8,19.8,0.0,0.0,0.0
87,32,CameraAccessory,1790209.0,6.248137683020807,1084.1186745440534,2.2468533264834316,4.001284356537375,54.59160891258889,452.75366041613154,670.0,1,50.327406499078315,1222.0,48.05199999999796,0.1897249921538861,0.14032352304304374,0.860256897116284,0.043782690497049484,1.4594230165684456,0.47431248038470075,0.35755863905926677,0.0,0.0,1,1.5463804801595875,0.1827864688906728,1.3474616316554084,0.11027983980753572,3.971821488862785,0.5343908090166184,0.43472257379513307,0.18854504847419704,0.22081863710840463,3.2000000000000006,14.799999999999999,2.65,0.0,0.0
90,33,CameraAccessory,1391401.0,6.183658170914542,1120.6195652173913,2.118065967016492,4.065592203898051,49.08756248691115,512.4089205397302,516.0,1,50.32740649908251,1222.0,48.05199999999885,0.1897249921538993,0.14032352304304166,0.8602568971162239,0.04378269049705279,1.4594230165684174,0.47431248038470253,0.357558639059244,0.0,0.0,0,1.4268293762815694,0.23171675748837806,1.533987712943928,0.09892261040082065,3.8425159098860884,0.5277515612863644,0.44450315381827066,0.09427252423709852,0.022081863710840463,-7.266666666666667,25.266666666666666,0.0,2.6666666666666665,2.0
93,34,CameraAccessory,2048439.0,5.9439336174030055,1078.9847499439336,2.207221350078493,3.736712267324512,51.20392428200264,451.18441354563805,823.0,1,50.327406499077156,1222.0,48.05199999999772,0.18972499215388228,0.14032352304305007,0.8602568971163005,0.04378269049704819,1.4594230165684536,0.4743124803847074,0.3575586390592753,0.0,0.0,1,1.331188493179138,0.2561819017872391,1.6272507535882645,0.09324399569745852,3.764932562500107,0.5270876365133439,0.44645926982292944,0.04713626211854926,0.0022081863710840463,5.166666666666667,12.833333333333334,0.0,0.0,1.3333333333333333
96,35,CameraAccessory,1885103.0,6.038593286138388,1132.7131765243207,1.9611783512217402,4.077414934916647,56.962728920333205,424.7593057775748,705.0,0,50.3274064990773,1222.0,48.05199999999775,0.18972499215388275,0.1403235230430493,0.8602568971162984,0.04378269049704835,1.4594230165684525,0.47431248038470347,0.35755863905927426,0.0,0.0,0,1.2546757866971934,0.26841447393666884,1.6738822739104307,0.09040468834577761,3.7183825540685165,0.5270212440360379,0.44685049302386015,0.02356813105927463,0.00022081863710840465,-0.65,18.65,12.7,3.0,3.0
99,36,CameraAccessory,1788057.001223748,5.968123393316195,1079.8845758354755,2.1460154241645246,3.822107969151671,52.197127085606695,454.10205666013263,762.0,0,49.23791182505937,1049.4290488431877,91.3803319524708,0.6003760399703657,0.15178243619374143,2.6868698579686043,0.02991259074681268,1.3704578183967902,0.4591835516217484,0.37712860318124075,0.053212215806676615,0.9752848117555456,1,1.6041166693281204,0.28598967316207585,3.52381099492382,0.07511493491970149,3.6014873508378997,0.5118856760253522,0.46649870178601277,0.06499628133631392,0.9753068936192565,2.1999999999999997,15.799999999999999,0.75,1.75,2.0
102,37,CameraAccessory,1860610.0,5.910419161676646,1113.7082634730539,2.102994011976048,3.807425149700599,54.607048983720695,438.7195209580838,934.0,1,49.020550414609,1015.0,100.02462142926677,0.6823036464881415,0.15406856533604626,3.051291253488643,0.027145413892540656,1.3527086715522187,0.45616523003382153,0.3810329407658591,0.06382840563921531,1.1698605975113245,0,1.9655969819506378,0.2970634019170842,4.813196750950553,0.0647028813523914,3.513601082054959,0.5073537976363568,0.47433268112306165,0.09632654630737228,1.2673912868732502,10.166666666666666,7.833333333333333,9.0,0.0,0.0
105,38,CameraAccessory,1500613.5,5.920751394188436,1200.4804813619019,1.9979454065159965,3.9228059876724393,57.51737030847409,434.5542999706487,662.0,0,49.02055041461109,1015.0,100.0246214292658,0.6823036464881778,0.15406856533604613,3.0512912534886367,0.027145413892540656,1.3527086715522372,0.4561652300338319,0.38103294076585825,0.06382840563921428,1.1698605975112717,1,2.254781232048688,0.30260026629458825,5.457889628963914,0.05949685456873635,3.4608693207852124,0.5069006097974675,0.4758994769904706,0.11199167879290042,1.2965997261985966,8.9,9.1,0.3333333333333333,0.0,0.0
