,week,product_analytic_sub_category,gmv,units,sla,product_mrp,product_procurement_sla,sla_diff,discount_percentage,gmv_per_unit,order_payment_type_Prepaid,special_sales,NPS,Stock Index,Total Investment,TV,Digital,Sponsorship,Content Marketing,Online marketing,Affiliates,SEM,Radio,Other,pay_day
75,28,CameraAccessory,1605146.0,3449,6.047139045360214,1089.6869255855322,2.2525941298547285,3.794544915505485,53.13991755877157,467.1375630002965,529.0,0,47.09303132503072,1052.0,74.19599999999771,0.32134300770088287,0.0334548884729709,0.30813713067209225,0.06602938514401971,1.6800810219977296,0.5407072983459905,0.30813713067209225,0.19808815543205832,1.9874844928347604,0
76,28,GamingAccessory,1690682.0,3362,6.177404580152672,1183.6241221374046,2.1572519083969466,4.020152671755725,49.95123534952733,508.1865648854962,465.0,0,47.09303132503079,1052.0,74.19599999999775,0.20519239723565905,0.021362496150560344,0.19675983296569682,0.04216282134979173,1.0728095654558294,0.3452666592755443,0.19675983296569682,0.1264884640493744,1.2691009226287244,0
77,28,HomeAudio,1207999.0,1055,6.747378455672068,1688.540514775977,2.003813155386082,4.7435653002859866,31.6434168068834,1148.4795042897997,181.0,0,47.09303132503374,1052.0,74.19600000000088,0.294582203362661,0.03066883213090677,0.2824760854162488,0.060530589732053296,1.5401672276266434,0.4956782736946943,0.2824760854162488,0.18159176919616,1.8219707509347711,0
78,29,CameraAccessory,1285497.0,2639,6.44654573523736,1137.7502894635277,2.097645696642223,4.348900038595137,53.01667238741218,487.9282130451563,456.0,0,47.093031325031454,1052.0,74.19599999999814,0.321343007700877,0.033454888472969915,0.3081371306720917,0.06602938514401957,1.680081021997809,0.5407072983459941,0.3081371306720917,0.1980881554320577,1.987484492834844,1
79,29,GamingAccessory,1631372.0,3047,6.122517670817906,1155.8421406933692,2.1676203298552674,3.954897340962639,47.44234406570604,540.2652305621003,456.0,0,47.09303132503105,1052.0,74.1959999999979,0.20519239723565572,0.021362496150560503,0.1967598329657012,0.042162821349791796,1.0728095654558296,0.3452666592755522,0.1967598329657012,0.1264884640493745,1.26910092262872,1
80,29,HomeAudio,983815.0,829,6.890776699029126,1763.1674757281553,1.9393203883495145,4.951456310679611,31.34094721690356,1190.4211165048544,172.0,0,47.09303132503325,1052.0,74.1960000000016,0.2945822033626598,0.030668832130906768,0.28247608541624875,0.060530589732053275,1.5401672276266483,0.4956782736946945,0.28247608541624875,0.18159176919615996,1.8219707509347838,1
81,30,CameraAccessory,1705972.0,3643,6.2369813422445,1049.0392648287386,2.337231968810916,3.899749373433584,52.495529777078765,470.03508771929825,695.0,1,47.09303132503057,1052.0,74.19599999999762,0.3213430077008893,0.0334548884729711,0.3081371306720923,0.06602938514401972,1.6800810219977136,0.5407072983459897,0.3081371306720923,0.19808815543205843,1.9874844928347435,0
82,30,GamingAccessory,2144142.8956802124,3686,6.398383049902425,1133.468636743797,2.2347365486478954,4.16364650125453,46.76173381972184,586.7050314580725,617.0,1,47.09303132503057,1052.0,74.19599999999762,0.20519239723566188,0.0213624961505602,0.19675983296569308,0.04216282134979168,1.0728095654558292,0.34526665927553757,0.19675983296569308,0.1264884640493743,1.2691009226287615,0
83,30,HomeAudio,1171921.0,1028,7.122428991185113,1714.6082272282076,2.01077375122429,5.111655239960823,33.2655263311843,1140.6429970617041,216.0,1,47.09303132503369,1052.0,74.196000000001,0.2945822033626609,0.030668832130906768,0.2824760854162488,0.060530589732053296,1.5401672276266438,0.4956782736946943,0.2824760854162488,0.18159176919616,1.8219707509347725,0
84,31,CameraAccessory,1300352.0,2383,6.549680170575693,1129.6243070362473,2.100213219616205,4.449466950959488,47.915422943208576,548.4545842217484,431.0,0,47.09303132503178,1052.0,74.19599999999834,0.3213430077008772,0.033454888472969464,0.3081371306720915,0.06602938514401951,1.680081021997827,0.5407072983459957,0.3081371306720915,0.1980881554320574,1.9874844928348818,0
